cg_ipo_id,company,gmp,estimated_price,gmp_fetched
2949,SBI Funds Management Ltd. P,92.0,666.0,2026-07-19
2675,Alpine Texworld Ltd. P,0.0,,2026-07-19
2654,Laser Power & Infra Ltd. LT,43.0,257.0,2026-07-16
2670,Kusumgar Ltd. P,160.0,579.0,2026-07-13
1999,Caliber Mining & Logistics Ltd. LT,64.0,488.0,2026-07-24
2688,Xtranet Technologies Ltd. LT,14.0,141.0,2026-07-30
2682,Indo-MIM Ltd. LT,188.0,673.0,2026-07-30
2574,Lohia Corp Ltd. LT,17.0,442.0,2026-07-30
2956,Manipal Health Enterprises Ltd. P,0.0,590.0,2026-08-03
2492,Juniper Green Energy Ltd. LT,22.0,247.0,2026-08-06
2800,MV Electrosystems Ltd. LT,109.0,534.0,2026-08-06
2860,Ardee Industries Ltd. P,16.0,69.0,2026-08-10
2565,Technocraft Ventures Ltd. CT,30.0,242.0,2026-08-11
2583,LEAP India Ltd. CT,13.0,,2026-08-11
2859,Dhoot Transmission Ltd. O,250.0,,2026-08-11
2579,Molbio Diagnostics Ltd. O,127.0,,2026-08-11
2541,Milky Mist Dairy Food Ltd. O,21.0,,2026-08-11
2450,Shiprocket Ltd.,27.0,,2026-08-11
2659,Behari Lal Engineering Ltd.,53.0,,2026-08-11
2663,Shankesh Jewellers Ltd.,0.0,,2026-08-11
2469,Lalithaa Jewellery Mart Ltd.,0.0,,2026-08-11
